アルコール分,日本酒度,エキス分,総酸,アミノ酸度,甘辛度,濃淡度,精米歩合,容器,タイプ
16.3,3.5,3.83,1.15,1.75,-0.004,-0.952,69,茶色瓶,一般酒
15.4,-2.69,4.2,1.14,1.39,0.178,-0.99,67,茶色瓶,一般酒
14.5,5.85,3.73,1.4,1.01,-0.159,-1.04,73,茶色瓶,一般酒
15.6,3.27,4.8,1.58,1.12,-0.033,-1.02,73,茶色瓶,一般酒
15.9,4.95,3.93,0.846,1.51,-0.258,-0.976,72,紙パック,一般酒
14.9,2.79,4.4,1.08,1.02,0.158,-0.895,71,茶色瓶,一般酒
15.5,5.05,4.85,1.5,1.46,-0.125,-1.03,69,茶色瓶,一般酒
16.1,0.718,4.38,0.97,1.01,0.273,-0.905,73,茶色瓶,一般酒
14.4,1.45,4.24,0.714,1.64,-0.09,-0.844,69,茶色瓶,一般酒
15.3,6.7,4.55,0.788,1.62,-0.018,-0.95,71,緑色瓶,一般酒
14.5,0.683,5.29,1.05,1.11,-0.093,-0.83,67,茶色瓶,一般酒
14.4,1.59,3.98,1.13,1.25,-0.053,-1.13,72,茶色瓶,一般酒
14.9,4,5.66,1.16,1.96,0.262,-1.01,72,紙パック,一般酒
15.9,10.4,3.99,0.961,0.915,-0.108,-0.977,75,紙パック,一般酒
15.6,2.26,4.71,0.866,1.67,-0.024,-1.01,72,茶色瓶,一般酒
14.8,0.631,5.05,1.16,1.4,-0.014,-1.09,65,緑色瓶,一般酒
15.1,1.92,5.94,1.23,1.16,0.077,-0.988,70,茶色瓶,一般酒
16.2,1.99,4.26,1.17,1.52,-0.099,-0.937,70,茶色瓶,一般酒
14.7,2.03,6.08,1.05,1.89,0.03,-1.02,68,その他色瓶,一般酒
14.4,2.98,4.15,1.3,1.08,-0.272,-1.03,67,茶色瓶,一般酒
14.7,2.42,4.22,1.53,1.53,0.1,-1.01,67,茶色瓶,一般酒
16.1,7.29,3.35,1.34,0.605,0.032,-1.04,65,紙パック,一般酒
14.7,4.3,4.65,0.68,0.887,-0.039,-0.873,70,茶色瓶,一般酒
14.6,-4.31,4.45,1.89,1.13,0.102,-0.963,66,紙パック,一般酒
15.6,2.9,4.92,1.29,1.53,-0.113,-0.96,69,茶色瓶,一般酒
16.2,2.77,4.84,1.27,1.07,-0.253,-1,71,茶色瓶,一般酒
15.7,3.26,3.72,1.02,1.86,-0.308,-0.883,69,茶色瓶,一般酒
14.5,5.32,4.42,0.746,1.86,-0.135,-1.05,73,茶色瓶,一般酒
14.7,3.78,4.54,1.12,1.4,0.199,-0.946,69,茶色瓶,一般酒
15.3,7.79,4.42,1.11,1.96,0.041,-0.969,70,茶色瓶,一般酒
15.6,-5.05,4.57,0.903,1.83,-0.042,-0.932,71,茶色瓶,一般酒
15.3,-1.87,5.74,0.644,1.91,-0.072,-1.14,66,茶色瓶,一般酒
13.7,3.42,5.03,1.08,2.25,-0.376,-1.03,68,茶色瓶,一般酒
14.8,2.16,4.17,0.549,1.37,-0.265,-1.01,69,茶色瓶,一般酒
16,6.02,4.92,1.32,1.33,-0.173,-0.864,71,茶色瓶,一般酒
15.6,9.18,5.65,1.29,0.963,-0.263,-1.11,68,その他色瓶,一般酒
15.5,3.29,3.43,0.971,1.25,-0.054,-1.13,72,茶色瓶,一般酒
14.7,0.713,3.99,1.26,1.73,-0.067,-1.04,68,その他色瓶,一般酒
15.6,2.92,4.58,1.28,1.17,-0.194,-0.986,71,茶色瓶,一般酒
15.2,6.63,3.47,1.11,1.52,-0.193,-1.01,73,リターナブル瓶,一般酒
14.9,7.81,6.14,0.921,0.959,0.273,-0.918,72,緑色瓶,一般酒
15.3,1.72,5.05,1.07,1.09,-0.049,-1.07,70,茶色瓶,一般酒
16.8,7.56,5.77,1.03,1.08,-0.181,-1.01,70,茶色瓶,一般酒
16,0.85,4.74,1.2,1.26,-0.432,-1.01,69,紙パック,一般酒
14.8,2.22,4.16,1.17,1.16,0.18,-0.998,73,その他色瓶,一般酒
15.4,-0.559,4.14,1.2,1.22,-0.19,-1,72,紙パック,一般酒
16,-1.97,3.99,1.11,1.82,0.098,-0.921,71,茶色瓶,一般酒
16.1,5.54,4.07,1.19,0.681,-0.034,-0.989,70,茶色瓶,一般酒
15,5.36,3.06,1.01,0.701,-0.097,-1.02,67,茶色瓶,一般酒
16.2,3.38,4.56,1.39,0.878,-0.301,-1.09,72,茶色瓶,一般酒
14.8,3.07,4.27,1.18,1.27,-0.069,-1.07,71,茶色瓶,一般酒
15.1,9.22,3.35,1.29,1.35,-0.224,-1.04,70,茶色瓶,一般酒
15.7,-0.444,3.57,1.15,1.33,0.186,-0.941,69,茶色瓶,一般酒
15.9,-2.47,4.38,1.01,1.72,-0.164,-0.95,72,茶色瓶,一般酒
15.3,3.75,5.41,1.39,1.07,-0.295,-0.799,73,茶色瓶,一般酒
14.9,2.48,3.53,1.16,1.27,-0.072,-0.96,69,茶色瓶,一般酒
14.6,8.1,5.44,0.724,0.87,0.171,-1.09,71,茶色瓶,一般酒
16.2,4.39,4.79,1.32,1.45,-0.092,-1.15,70,緑色瓶,一般酒
14.9,6.91,4.11,1.33,1.14,-0.212,-0.939,69,茶色瓶,一般酒
14,0.253,5.23,0.988,1.88,0.25,-0.965,68,茶色瓶,一般酒
14.8,-1.25,4.37,0.858,0.909,-0.29,-1.1,70,茶色瓶,一般酒
15.1,0.445,3.32,1.24,1.34,0.111,-1.03,69,茶色瓶,一般酒
14.7,7.46,4.02,0.678,1.37,0.175,-0.973,66,茶色瓶,一般酒
15.2,-0.761,4.74,1.39,0.975,0.058,-1.07,67,紙パック,一般酒
14.9,4.97,4.28,1.09,0.735,-0.499,-1.02,73,紙パック,一般酒
15.2,3.38,4.59,1.28,1.1,-0.348,-0.775,74,緑色瓶,一般酒
14.7,5.49,3.75,1.16,1.28,-0.035,-1.06,73,その他色瓶,一般酒
16.1,3.96,4.17,1.22,1.15,0.081,-1.04,69,紙パック,一般酒
16.5,2.41,4.39,1.15,1.4,0.175,-1.16,73,その他色瓶,一般酒
16.1,0.786,4.08,1.07,1.71,-0.157,-0.947,69,緑色瓶,一般酒
14,-3.13,5.41,1.09,1.46,-0.209,-0.834,68,茶色瓶,一般酒
14.6,3.78,5.05,0.987,1.23,-0.011,-0.995,70,茶色瓶,一般酒
14.3,5.59,3.84,1.1,1.4,0.156,-0.986,72,茶色瓶,一般酒
15.1,-0.321,5.54,0.755,1.31,-0.023,-1.04,68,茶色瓶,一般酒
15.4,1.92,3.54,1.37,1.16,-0.261,-0.815,76,茶色瓶,一般酒
13.6,2.85,4.21,0.922,0.914,0.092,-0.849,71,茶色瓶,一般酒
15.4,5.03,5.09,1.4,1.14,-0.042,-0.808,68,緑色瓶,一般酒
15,2.54,5.25,1.08,1.56,0.032,-1.06,70,茶色瓶,一般酒
15.5,0.71,4.85,1.36,1.11,-0.428,-1.03,69,茶色瓶,一般酒
16.7,7.25,5.52,1.44,1.45,-0.359,-0.988,68,茶色瓶,一般酒
16.3,5.68,4.43,0.978,0.967,0.143,-0.79,71,緑色瓶,一般酒
14.7,1.54,4.29,1.03,1.22,-0.322,-0.974,64,茶色瓶,一般酒
15.5,3.45,4.4,0.81,0.798,-0.017,-0.774,71,茶色瓶,一般酒
14.6,5.61,4.26,0.784,1.17,-0.158,-0.957,70,茶色瓶,一般酒
14.8,6.27,5.3,1.48,1.14,-0.225,-1,71,茶色瓶,一般酒
15.3,1.8,3.63,1.43,1.24,-0.111,-1.21,69,茶色瓶,一般酒
16,2.55,4.43,1.2,1.23,-0.105,-1.08,72,茶色瓶,一般酒
15.3,0.208,4.37,0.977,1.34,-0.006,-0.947,69,緑色瓶,一般酒
13.5,5.59,4.78,1.03,1.36,0.036,-0.891,74,茶色瓶,一般酒
15.9,3.85,4.56,1.21,0.991,0.014,-0.969,76,茶色瓶,一般酒
16.7,2.12,4.2,1.46,1.74,-0.236,-0.993,68,紙パック,一般酒
14.5,0.186,4.65,1.25,1.56,-0.024,-0.946,67,茶色瓶,一般酒
15.6,-0.344,4.82,1.04,1.38,-0.167,-0.973,65,茶色瓶,一般酒
14.7,5.21,3.78,1.26,0.675,-0.216,-0.995,71,茶色瓶,一般酒
16.1,1.98,4.31,1.24,1.14,-0.287,-0.988,70,茶色瓶,一般酒
16.8,8.77,4.91,0.99,1.62,0.351,-1.03,70,茶色瓶,一般酒
15.4,0.256,3.3,1.21,1.18,-0.187,-0.911,70,茶色瓶,一般酒
15.2,4.31,4,1.42,1.4,-0.147,-1.09,71,紙パック,一般酒
14.6,5.03,3.87,0.956,0.905,-0.355,-1.09,72,緑色瓶,一般酒
15.3,4.01,3.89,0.883,1.01,-0.095,-1,68,茶色瓶,一般酒
15.1,5.74,4.9,0.807,1.35,0.014,-1.11,70,茶色瓶,一般酒
14.7,-1.72,4.82,1.18,1.12,0.105,-1.04,67,茶色瓶,一般酒
15.2,-0.968,5.35,1.32,1.21,-0.022,-1.12,69,茶色瓶,一般酒
16.3,9.64,5.01,1,1.18,0.008,-0.982,69,茶色瓶,一般酒
15.6,2.58,4.14,1.34,0.848,-0.036,-0.853,66,緑色瓶,一般酒
15.7,0.738,4.39,1.18,2.23,0.007,-0.907,65,茶色瓶,一般酒
14.4,-0.319,4.25,1.15,1.17,-0.113,-1.14,70,茶色瓶,一般酒
14.8,-0.966,2.58,1.65,0.982,-0.214,-0.949,72,茶色瓶,一般酒
16.1,5.01,4.6,1.08,1.01,-0.339,-0.972,69,茶色瓶,一般酒
16.2,0.896,3.96,1.16,0.891,-0.024,-0.959,69,茶色瓶,一般酒
15.3,3.81,3.56,1.45,1.88,-0.338,-1.05,66,茶色瓶,一般酒
16.4,4.53,5.5,0.987,0.705,-0.153,-1.19,67,茶色瓶,一般酒
14.9,8.93,3.82,1.19,1.36,0.034,-0.964,72,その他色瓶,一般酒
14.6,-0.0119,5.36,1.39,1.01,-0.262,-1.03,69,茶色瓶,一般酒
15.1,-0.669,4.33,0.99,1.8,-0.125,-0.904,67,緑色瓶,一般酒
15.4,9.65,4.38,1.23,0.765,0.119,-1.14,71,茶色瓶,一般酒
15,1.09,5.56,1.68,1.47,-0.379,-0.899,70,紙パック,一般酒
15.3,10.4,3.02,1.01,1.28,-0.012,-0.971,69,茶色瓶,一般酒
14.7,4.06,4.94,1.16,1.23,-0.093,-0.973,73,紙パック,一般酒
16.2,-1.28,3.9,1.14,0.768,-0.079,-1.21,69,茶色瓶,一般酒
14.6,-0.247,4.01,1.16,1.44,-0.101,-0.984,69,茶色瓶,一般酒
15.3,0.198,5.53,0.855,1.13,-0.069,-1.2,66,茶色瓶,一般酒
14.1,7.13,4.86,1.22,0.862,-0.035,-1.02,73,茶色瓶,一般酒
16.3,1.48,3.78,0.966,1.86,0.153,-0.905,70,茶色瓶,一般酒
15.9,1.89,4.34,1.05,1.64,-0.161,-0.878,70,茶色瓶,一般酒
15.1,2.77,5.26,1.08,1.1,-0.186,-0.9,70,茶色瓶,一般酒
14.6,4.13,4.4,1.39,1.48,-0.221,-0.972,67,茶色瓶,一般酒
15.9,2.37,4.18,1.35,1.41,-0.361,-0.903,69,茶色瓶,一般酒
15.3,1.04,4.36,1.09,0.776,0.062,-0.983,70,茶色瓶,一般酒
14.7,3.06,5.37,1.04,0.923,-0.063,-1.08,71,茶色瓶,一般酒
14.9,3.15,5.79,1.04,1.29,-0.293,-1.03,70,茶色瓶,一般酒
15.8,1.09,5.3,0.464,1.71,-0.216,-0.939,67,茶色瓶,一般酒
14.5,-2.33,4.15,1.29,1.19,-0.201,-1.02,73,紙パック,一般酒
14.2,2.82,3.69,1.44,1.79,-0.019,-1.11,64,緑色瓶,一般酒
14.7,8.95,3.7,1.77,1.58,-0.199,-1.02,67,茶色瓶,一般酒
14.5,1.2,4.98,1.19,1.27,-0.156,-0.987,69,紙パック,一般酒
15.9,6.05,4.58,0.959,1.47,-0.27,-0.915,66,茶色瓶,一般酒
14.8,8.27,4.97,1.21,1.37,-0.011,-1.03,72,茶色瓶,一般酒
15.3,-0.951,5.27,1.22,1.13,-0.139,-1,66,茶色瓶,一般酒
15.4,6.26,4.55,1.02,1.57,-0.378,-0.993,71,その他色瓶,一般酒
15.8,6.93,5.44,1.28,0.965,-0.262,-0.99,71,リターナブル瓶,一般酒
14.7,0.946,5.12,1.33,1.67,-0.091,-1.09,70,茶色瓶,一般酒
15.5,3.66,5.03,1.15,1.05,-0.068,-0.952,70,茶色瓶,一般酒
14.9,8.45,4.48,1.38,1.58,-0.373,-1.09,72,紙パック,一般酒
15.4,1.7,3.86,1.01,1.22,0.163,-1.04,73,緑色瓶,一般酒
14.4,2.21,4.45,1.24,1.23,0.091,-0.963,70,茶色瓶,一般酒
15.2,1.18,4.56,1.35,1.08,-0.039,-0.944,70,茶色瓶,一般酒
14.8,1.6,3.11,1.07,0.668,-0.198,-0.9,73,茶色瓶,一般酒
16.5,-3.37,4.03,1.08,1.2,-0.258,-1.04,69,茶色瓶,一般酒
15.6,3.03,5.21,1.39,0.986,-0.276,-0.947,70,紙パック,一般酒
15.6,3.92,4.45,0.928,1.71,-0.139,-0.951,68,その他色瓶,一般酒
15.3,1.99,4.32,1.16,0.909,-0.151,-0.995,73,茶色瓶,一般酒
15.5,1.14,4.49,0.951,1.39,-0.106,-0.941,66,茶色瓶,一般酒
15.2,0.613,3.82,1.46,0.536,0.176,-1.01,71,茶色瓶,一般酒
14.4,9.55,3.77,0.942,1.79,-0.137,-0.97,69,リターナブル瓶,一般酒
15.4,3.31,4.2,1.1,1.59,-0.322,-0.998,72,茶色瓶,一般酒
14.4,10.1,3.32,1.28,0.902,-0.05,-1.01,70,茶色瓶,一般酒
16.1,4.72,4.09,1.34,0.751,-0.034,-1.01,66,緑色瓶,一般酒
15.2,-1.6,3.58,1.38,1.75,-0.079,-0.979,73,茶色瓶,一般酒
15.3,5.84,4.98,1.31,1.47,-0.26,-0.965,68,茶色瓶,一般酒
15.3,4.62,4.54,0.819,1.54,0.121,-1.04,66,茶色瓶,一般酒
13.9,5.2,3.87,1.1,1.28,-0.426,-0.92,72,茶色瓶,一般酒
16.1,5.32,4.68,1.14,1.06,-0.071,-1.03,74,リターナブル瓶,一般酒
15,0.0761,5.34,1.02,1.31,-0.243,-0.851,73,茶色瓶,一般酒
16.6,0.865,4.49,1.42,1.46,0.008,-0.987,69,茶色瓶,一般酒
14.3,2.99,4.84,1.07,0.952,-0.002,-1.03,68,茶色瓶,一般酒
14.3,6.47,6.21,1.56,1.17,-0.256,-1.05,70,茶色瓶,一般酒
16.3,3.4,3.65,0.93,0.707,-0.12,-0.856,70,茶色瓶,一般酒
16.2,-0.218,4.25,1.69,1.4,-0.484,-0.998,69,茶色瓶,一般酒
15.1,-0.877,4.58,1.41,2.01,-0.188,-0.994,73,緑色瓶,一般酒
15,-0.151,4.41,1.6,0.756,-0.021,-0.918,68,茶色瓶,一般酒
13.3,3.82,4,1.27,1.14,0.09,-0.944,71,茶色瓶,一般酒
15.5,3.12,5.62,1.51,0.946,-0.111,-1.02,70,その他色瓶,一般酒
14.8,1.83,3.7,1.09,1.35,-0.329,-1.1,71,茶色瓶,一般酒
16,6.95,4.24,1.17,1.33,-0.034,-0.977,68,茶色瓶,一般酒
15.1,7.34,4.42,0.965,1.07,-0.31,-1.07,73,紙パック,一般酒
15.1,5.27,5.41,0.888,1.15,-0.178,-0.934,67,茶色瓶,一般酒
16.1,3.64,4.11,1.49,1.38,0.023,-0.897,71,茶色瓶,一般酒
15.1,8.08,3.45,0.932,1.62,-0.086,-0.985,74,茶色瓶,一般酒
15.9,7.6,3.18,1.32,1.61,-0.209,-1.04,68,茶色瓶,一般酒
14.7,0.00509,5.3,1.15,1.12,-0.15,-0.971,69,緑色瓶,一般酒
14.9,6.71,4.75,1.18,0.791,0.17,-0.996,77,茶色瓶,一般酒
16,0.404,4.66,0.975,0.905,-0.179,-1.02,72,茶色瓶,一般酒
13.9,-0.0446,4.84,1.21,1.26,0.048,-1.1,69,紙パック,一般酒
15.5,1.93,3.26,1.24,1.1,-0.091,-1.04,70,茶色瓶,一般酒
15.1,2.39,5.13,1.04,1.64,0.036,-1.02,68,茶色瓶,一般酒
16.1,7.38,4.14,1.34,1.66,-0.353,-0.92,69,茶色瓶,一般酒
15.6,2.73,5.41,1.15,0.917,0.003,-0.914,74,紙パック,一般酒
15,3.76,4.74,1.23,0.88,0.357,-1.01,67,その他,一般酒
14.7,6.22,4.98,1.11,1.51,0.156,-0.979,71,茶色瓶,一般酒
14.5,-0.833,5.18,1.3,1.53,-0.143,-0.947,62,緑色瓶,一般酒
15.7,5.02,4.11,0.845,0.873,-0.248,-1.11,73,茶色瓶,一般酒
15.3,2.44,3.09,0.818,0.932,-0.531,-1.03,67,茶色瓶,一般酒
15,0.612,4.12,0.995,0.921,0.065,-1.01,71,茶色瓶,一般酒
13.8,6.92,3.32,1.37,1.82,-0.361,-1.1,68,茶色瓶,一般酒
14.8,-4.53,5.22,1.16,0.99,0.151,-1.03,68,緑色瓶,一般酒
14.8,0.785,6.07,1.38,1.31,-0.311,-0.982,71,茶色瓶,一般酒
15.6,8.03,5.05,0.65,1.53,-0.005,-1.05,69,茶色瓶,一般酒
16.1,3.22,4.42,1.33,1.82,0.046,-1.15,73,紙パック,一般酒
16.1,2.44,4.66,1.42,1.18,0.044,-0.888,69,茶色瓶,一般酒
15.4,5.93,4.6,1.48,1.31,0.056,-0.921,70,紙パック,一般酒
16.5,6.58,5.42,1.04,1.3,-0.243,-1.06,70,茶色瓶,一般酒
15.1,4.18,4.14,1.33,1.39,-0.099,-0.968,71,茶色瓶,一般酒
15.6,3.77,3.7,0.95,1.36,0.028,-1.05,69,紙パック,一般酒
14.4,6.7,5.68,1.22,0.758,-0.181,-1.03,68,茶色瓶,一般酒
16.2,5.51,4.11,1.18,2.18,-0.025,-1.03,74,茶色瓶,一般酒
16.6,3.24,3.68,1.34,1.22,-0.219,-1.15,70,緑色瓶,一般酒
14.4,7.72,3.25,0.94,1.45,0.022,-0.99,70,茶色瓶,一般酒
14.8,3.8,5.28,1.13,1.24,-0.08,-0.942,71,紙パック,一般酒
16.4,-0.607,4.22,1.31,1.24,0.053,-1.07,69,茶色瓶,一般酒
15.6,7.27,5.03,0.859,1.46,-0.01,-0.944,69,茶色瓶,一般酒
15.8,9.94,4.46,0.804,1.46,0.157,-1.1,68,茶色瓶,一般酒
14.8,-0.664,3.96,0.999,1.65,-0.176,-1.1,71,その他色瓶,一般酒
14.5,7.08,4.52,1.28,1.66,0.135,-0.961,69,茶色瓶,一般酒
16.8,2.98,3.84,1.14,1.57,0.051,-1.04,76,紙パック,一般酒
14.9,-1.38,4.21,0.725,1.2,0.062,-1.03,67,茶色瓶,一般酒
14.8,6.71,4.63,1.53,1.65,0.133,-1,72,緑色瓶,一般酒
15.2,1.65,5.31,1.09,1.56,-0.114,-0.865,75,茶色瓶,一般酒
16.1,2.98,5.56,1.04,1.35,-0.149,-0.896,69,茶色瓶,一般酒
14.3,-0.572,4.4,0.847,1.38,-0.061,-0.994,73,茶色瓶,一般酒
15,2.37,3.95,1.05,1.59,-0.044,-0.8,67,茶色瓶,一般酒
15.5,2.8,4.36,1.58,1.73,0.128,-0.909,73,紙パック,一般酒
15.4,7.79,4.22,1.43,1.3,-0.031,-0.986,69,その他色瓶,一般酒
16.4,2.74,4.26,1.11,1.09,-0.107,-1.11,73,茶色瓶,一般酒
16.1,5.91,5.73,1.1,1.56,-0.487,-0.929,77,茶色瓶,一般酒
15,6.53,3.76,0.822,0.815,0.04,-0.994,70,茶色瓶,一般酒
15.9,5.56,3.23,1.07,1.35,0.093,-0.943,73,茶色瓶,一般酒
16.3,2.6,4.89,1.45,1.39,0.074,-0.911,70,茶色瓶,一般酒
16.1,-0.117,4.92,1.08,1.68,0.104,-1.04,68,茶色瓶,一般酒
15,3.88,5.08,1.35,1.19,-0.161,-0.921,70,茶色瓶,一般酒
14.8,0.945,3.64,1.17,1.36,-0.254,-1.13,69,茶色瓶,一般酒
15.2,-3.23,5.18,1.47,1.98,-0.13,-0.898,69,茶色瓶,一般酒
15.9,5.56,5.32,0.916,1.21,-0.199,-1.02,67,茶色瓶,一般酒
16.2,4.57,5,1.26,1.34,0.218,-1.04,71,茶色瓶,一般酒
15.2,2.01,5.31,1.29,1.23,0.077,-0.909,71,茶色瓶,一般酒
15.8,1.2,4.81,1.29,1.15,-0.031,-0.925,69,茶色瓶,一般酒
15.8,3.71,3.58,1.18,1.58,-0.05,-1.14,66,緑色瓶,一般酒
14.5,5.15,3.79,1.12,1.86,-0.092,-1,68,茶色瓶,一般酒
15.1,0.278,4.43,0.864,1.46,0.219,-1.01,70,茶色瓶,一般酒
15.7,5.91,4.93,0.974,1.08,-0.48,-1.09,68,紙パック,一般酒
13.4,5.6,4.57,1.2,2.22,0.051,-0.883,70,紙パック,一般酒
14.3,5.76,4.56,0.79,1.76,0.033,-0.923,65,茶色瓶,一般酒
15,-0.308,5.42,1.23,1.07,0.032,-1.02,72,茶色瓶,一般酒
14.6,4.54,4.09,0.934,0.801,-0.249,-0.994,73,茶色瓶,一般酒
15.1,3.28,4.4,0.748,1.44,-0.079,-0.939,69,茶色瓶,一般酒
15.8,5.07,3.89,1.35,0.936,0.066,-0.954,72,リターナブル瓶,一般酒
16.8,-0.351,5.1,1.02,1.4,-0.093,-1.13,67,茶色瓶,一般酒
15.7,6.5,4.17,0.731,1.21,-0.074,-1.06,71,緑色瓶,一般酒
14.6,3.45,4.64,1.19,0.936,-0.506,-1.06,70,茶色瓶,一般酒
14.6,1.26,4.55,1.24,1.15,-0.138,-0.976,68,茶色瓶,一般酒
15.6,8.26,4.97,1.35,1.3,-0.05,-1.07,69,リターナブル瓶,一般酒
14.8,10.8,5.23,1.39,1.32,-0.207,-1.03,68,紙パック,一般酒
16.3,2,4.58,1.35,1.46,-0.153,-1.09,71,茶色瓶,一般酒
15,2.56,5.35,1.2,1.89,0.062,-0.951,72,紙パック,一般酒
14.5,-2.72,3.91,1.45,1.43,-0.385,-0.988,71,茶色瓶,一般酒
15.1,10.2,5.94,1.14,1.42,-0.005,-0.963,68,紙パック,一般酒
15.7,4.43,4.3,1.11,1.54,0.164,-0.974,72,茶色瓶,一般酒
16,7.1,3.56,1.25,1.46,0.284,-0.983,71,緑色瓶,一般酒
14.3,0.0578,4.67,1.15,1.37,0.087,-0.952,68,茶色瓶,一般酒
16.7,8.1,2.47,0.851,1.3,-0.115,-0.962,72,茶色瓶,一般酒
15.9,1.06,4.62,1,1.38,-0.157,-1.16,68,茶色瓶,一般酒
15.7,13.7,4.5,1.57,1.56,-0.006,-1.01,67,茶色瓶,一般酒
15.1,8.77,3.69,1.52,1.35,-0.061,-0.949,71,紙パック,一般酒
14.7,-1.58,4.32,1.17,1.32,-0.097,-1.01,70,紙パック,一般酒
14.7,4.68,4.22,1.18,1.59,-0.119,-0.998,74,茶色瓶,一般酒
15.3,7.98,4.36,0.795,1.37,-0.174,-0.859,66,茶色瓶,一般酒
15.1,0.0348,4.72,0.992,1.79,-0.056,-0.924,71,その他色瓶,一般酒
15.7,6.83,5.32,1.22,1.4,-0.331,-1.04,68,茶色瓶,一般酒
16.2,6.94,4.47,1.4,1.77,-0.045,-1,71,茶色瓶,一般酒
15.1,0.126,3.51,1.13,0.485,-0.096,-0.997,68,茶色瓶,一般酒
14.9,2.66,5.61,1.43,1.37,-0.222,-0.996,65,紙パック,一般酒
14.3,4.8,4.6,1.35,1.53,-0.053,-0.945,72,茶色瓶,一般酒
15.6,6.03,4.58,1.1,1.36,-0.048,-0.952,68,緑色瓶,一般酒
15.3,1.99,5.36,0.965,1.14,0.228,-0.9,73,茶色瓶,一般酒
14.6,1.6,4.02,1.37,1.27,-0.146,-1.05,69,茶色瓶,一般酒
15.8,4.35,3.77,1.29,1.51,-0.218,-1.05,74,茶色瓶,一般酒
15.3,5.64,4.24,1.01,0.841,-0.318,-0.957,69,その他色瓶,一般酒
16.2,3.66,4.03,1.16,1.62,-0.147,-0.967,68,茶色瓶,一般酒
14.9,0.259,4.69,0.734,1.02,-0.056,-0.93,69,茶色瓶,一般酒
15.4,3.79,5.59,1.22,1.63,-0.264,-1.02,69,紙パック,一般酒
14.7,10.6,4.14,1.2,1.32,-0.202,-1.04,72,緑色瓶,一般酒
14.7,3.05,4.47,1.37,1.56,-0.136,-0.966,75,茶色瓶,一般酒
15.1,3.54,3.15,1.89,0.916,-0.286,-0.973,69,その他色瓶,一般酒
16.3,3.66,3.87,1.37,1.23,-0.486,-0.997,71,紙パック,一般酒
14.6,1.54,4.21,1.26,1.35,-0.099,-1.06,71,茶色瓶,一般酒
15.5,4.18,5.45,1.33,1.16,-0.09,-0.971,69,茶色瓶,一般酒
15.3,0.85,3.34,0.778,1.47,-0.078,-0.924,69,紙パック,一般酒
15.4,8.53,2.48,1.3,1.49,0.016,-1.02,70,茶色瓶,一般酒
15.6,-0.21,3.65,1.35,1.42,-0.32,-1.14,66,茶色瓶,一般酒
15,1.87,4.02,1.45,1.3,-0.455,-1.03,70,茶色瓶,一般酒
15.9,0.262,4.1,0.959,1.15,0.016,-0.894,70,緑色瓶,一般酒
15.3,4.21,5.27,1.2,1.18,-0.094,-1.08,70,茶色瓶,一般酒
14.6,3.53,4.84,0.822,0.794,-0.153,-0.873,72,茶色瓶,一般酒
14.6,3.06,4.07,1.4,0.492,-0.109,-1.15,65,茶色瓶,一般酒
15.4,0.395,4.96,1.05,0.913,0.009,-1.07,69,緑色瓶,一般酒
15,8.67,4.64,1.55,1.01,-0.053,-1.12,64,紙パック,一般酒
15.4,1.43,4.47,1.25,0.58,-0.008,-1.07,70,茶色瓶,一般酒
14.7,9.75,4.62,1.07,1.65,0.106,-1.02,73,紙パック,一般酒
16,5.45,4.94,1.39,1.32,-0.257,-1.01,63,緑色瓶,一般酒
16.3,0.52,3.98,1.04,0.265,-0.226,-1.04,72,茶色瓶,一般酒
15.8,-0.347,5.25,1.21,1.68,-0.095,-0.84,69,茶色瓶,一般酒
14.6,-1.28,3.54,0.981,1.38,0.081,-1.09,69,茶色瓶,一般酒
14.7,-2.34,4.27,1.36,0.973,-0.301,-0.997,73,茶色瓶,一般酒
14.5,5.16,3.87,0.794,0.911,-0.04,-1.03,70,茶色瓶,一般酒
13.7,-1.36,4.52,0.913,1.55,-0.048,-0.896,70,茶色瓶,一般酒
14.7,1.92,4.47,0.985,1.16,-0.213,-0.963,73,茶色瓶,一般酒
15,5.47,4.65,0.791,0.823,-0.081,-0.864,70,茶色瓶,一般酒
16,5.54,5,1.04,1.41,-0.102,-1.02,73,茶色瓶,一般酒
14.9,3.65,4.31,1.53,0.961,-0.18,-0.855,69,紙パック,一般酒
16.2,-1.68,4.83,1.13,1.15,0.277,-1.02,70,茶色瓶,一般酒
16,5.81,4.44,1.41,1.52,0.101,-1.08,72,紙パック,一般酒
16.6,2.43,4.99,0.687,1.29,-0.519,-0.924,70,茶色瓶,一般酒
15.2,-2.51,3.65,1.3,1.21,-0.222,-1.07,69,その他色瓶,一般酒
15.5,2.96,5.64,0.977,1.21,-0.224,-0.999,70,茶色瓶,一般酒
14.3,1.61,3.47,1.05,1.46,0.26,-0.962,73,茶色瓶,一般酒
14.1,0.424,5.22,1.22,1.63,0.377,-0.936,72,紙パック,一般酒
14.9,-0.0975,3.41,1.22,0.974,0.185,-1.03,71,茶色瓶,一般酒
14.7,3.25,4.59,1.24,1.17,-0.193,-1.01,69,茶色瓶,一般酒
16.2,11.2,5.23,1.04,0.974,0.133,-0.943,75,茶色瓶,一般酒
15.7,8.13,4.96,1.2,1.23,-0.141,-0.807,71,緑色瓶,一般酒
15.5,-2.08,3.15,0.738,1.16,-0.206,-0.948,70,紙パック,一般酒
